year,month,day,hour,minute,second,latitude,longitude,Davistemp,Davishumidity,BlackGlobetemp,speed
year,month,day,hour,minute,second,latitude,longitude,Davistemp,Davishumidity,BlackGlobetemp,speed
year,month,day,hour,minute,second,latitude,longitude,Davistemp,Davishumidity,BlackGlobetemp,speed
year,month,day,hour,minute,second,latitude,longitude,Davistemp,Davishumidity,BlackGlobetemp,speed
2015,10,18,0,8,37,0,0,19.00,44,nan,0.00
2015,10,18,0,8,43,0,0,19.00,44,nan,0.00
2015,10,18,0,8,49,0,0,19.00,44,nan,0.00
2015,10,18,0,8,55,0,0,18.99,44,nan,0.00
2015,10,18,0,9,1,0,0,18.99,44,18.94,0.00
2015,10,18,0,9,7,0,0,18.99,44,11.44,0.00
2015,10,18,0,9,13,0,0,18.98,44,13.69,0.00
2015,10,18,0,9,19,0,0,18.98,44,15.88,0.00
2015,10,18,0,9,25,0,0,18.98,44,24.69,0.00
2015,10,18,0,9,31,0,0,18.97,44,68.87,0.00
2015,10,18,0,9,37,0,0,18.97,44,19.81,0.00
2015,10,18,0,9,43,0,0,18.96,44,19.37,0.00
2015,10,18,0,9,49,0,0,18.96,44,19.06,0.00
2015,10,18,0,9,55,0,0,18.96,44,18.87,0.00
2015,10,18,0,10,1,0,0,18.96,44,25.75,0.00
2015,10,18,0,10,7,0,0,18.96,44,29.81,0.00
2015,10,18,0,10,13,0,0,18.95,44,31.44,0.00
2015,10,18,0,10,19,0,0,18.95,44,27.56,0.00
2015,10,18,0,10,25,0,0,18.95,44,26.19,0.00
2015,10,18,0,10,31,0,0,18.94,44,nan,0.00
2015,10,18,0,10,37,0,0,18.94,44,nan,0.00
2015,10,18,0,10,43,0,0,18.94,44,nan,0.00
2015,10,18,0,10,49,0,0,18.94,44,nan,0.00
2015,10,18,0,10,55,0,0,18.94,44,nan,0.00
2015,10,18,0,11,1,0,0,18.93,44,nan,0.00
2015,10,18,0,11,7,0,0,18.93,44,nan,0.00
2015,10,18,0,11,13,0,0,18.93,44,nan,0.00
2015,10,18,0,11,19,0,0,18.93,44,nan,0.00
2015,10,18,0,11,25,0,0,18.92,44,nan,0.00
2015,10,18,0,11,31,0,0,18.92,44,nan,0.00
2015,10,18,0,11,37,0,0,18.92,44,nan,0.00
2015,10,18,0,11,43,0,0,18.92,44,nan,0.00
2015,10,18,0,11,49,0,0,18.91,44,nan,0.00
2015,10,18,0,11,55,0,0,18.91,44,nan,0.00
2015,10,18,0,12,1,0,0,18.91,45,nan,0.00
2015,10,18,0,12,7,0,0,18.91,44,17.50,0.00
2015,10,18,0,12,13,0,0,18.90,44,23.87,0.00
2015,10,18,0,12,19,0,0,18.90,44,nan,0.00
2015,10,18,0,12,25,0,0,18.90,46,nan,0.00
2015,10,18,0,12,31,0,0,18.90,45,nan,0.00
2015,10,18,0,12,37,0,0,18.90,44,nan,0.00
2015,10,18,0,12,43,0,0,18.90,44,nan,0.00
2015,10,18,0,12,49,0,0,18.89,44,nan,0.00
2015,10,18,0,12,55,0,0,18.89,44,nan,0.00
2015,10,18,0,13,1,0,0,18.88,44,nan,0.00
2015,10,18,0,13,7,0,0,18.88,44,nan,0.00
2015,10,18,0,13,13,0,0,18.89,44,nan,0.00
2015,10,18,0,13,19,0,0,18.89,44,nan,0.00
2015,10,18,0,13,25,0,0,18.89,44,nan,0.00
2015,10,18,0,13,31,0,0,18.89,44,nan,0.00
2015,10,18,0,13,37,0,0,18.89,44,nan,0.00
2015,10,18,0,13,43,0,0,18.89,44,nan,0.00
2015,10,18,0,13,49,0,0,18.89,44,nan,0.00
2015,10,18,0,13,55,0,0,18.90,45,18.06,0.00
2015,10,18,0,14,1,0,0,18.90,45,25.19,0.00
2015,10,18,0,14,7,0,0,18.90,45,24.62,0.00
2015,10,18,0,14,13,0,0,18.90,45,nan,0.00
2015,10,18,0,14,19,0,0,18.90,45,nan,0.00
2015,10,18,0,14,25,0,0,18.91,44,nan,0.00
2015,10,18,0,14,31,0,0,18.90,44,nan,0.00
2015,10,18,0,14,37,0,0,18.90,44,nan,0.00
2015,10,18,0,14,43,0,0,18.91,44,nan,0.00
2015,10,18,0,14,49,0,0,18.92,45,nan,0.00
year,month,day,hour,minute,second,latitude,longitude,Davistemp,Davishumidity,BlackGlobetemp,speed,direction
2015,10,18,0,0,7,0,0,17.10,36,nan,0.00,0.00
2015,10,18,0,0,13,0,0,17.20,36,15.75,0.00,0.00
2015,10,18,0,0,19,0,0,17.24,36,15.75,0.00,0.00
2015,10,18,0,0,25,0,0,17.27,36,15.75,0.00,0.00
2015,10,18,0,0,31,0,0,17.29,36,15.88,0.00,0.00
2015,10,18,0,0,37,0,0,17.28,36,15.88,0.00,0.00
2015,10,18,0,0,43,0,0,17.29,36,16.00,0.00,0.00
2015,10,18,0,0,49,0,0,17.28,35,16.00,0.00,0.00
2015,10,18,0,0,55,0,0,17.27,35,16.00,0.00,0.00
2015,10,18,0,1,1,0,0,17.28,35,15.94,0.00,0.00
2015,10,18,0,1,7,0,0,17.27,36,15.81,0.00,0.00
2015,10,18,0,1,13,0,0,17.27,36,15.81,0.00,0.00
2015,10,18,0,1,19,0,0,17.24,35,15.81,0.00,0.00
2015,10,18,0,1,25,0,0,17.23,35,15.81,0.00,0.00
2015,10,18,0,1,31,0,0,17.23,35,15.81,0.00,0.00
2015,10,18,0,1,37,0,0,17.22,35,15.81,0.00,0.00
2015,10,18,0,1,43,0,0,17.21,36,15.88,0.00,0.00
2015,10,18,0,1,49,0,0,17.19,36,15.81,0.00,0.00
2015,10,18,0,1,55,0,0,17.20,36,15.81,0.00,0.00
2015,10,18,0,2,1,0,0,17.20,36,15.81,0.00,0.00
